User Story ID,User Story,Story Point,Priority
01,"As a compliance officer,
I want the system to automatically scrape regulatory updates from 7 international authorities (MAS, FATF, FinCEN, ECB, FCA, BIS, HKMA),
so that the compliance team receives the latest regulatory data without manual effort.

Given that the server is running, when the automated cron job triggers (every 14 days or on startup), then the feedIntegrator.js service scrapes regulatory websites, checks for duplicates, and inserts new regulations into the MySQL database.

Acceptance Criteria:
• The system shall scrape regulatory data from 7 sources: MAS, FATF, FinCEN, ECB, FCA, BIS, and HKMA.
• The system shall use node-cron to schedule the scraping job to run automatically every 14 days.
• The system shall check for duplicate regulations by title and source before inserting.
• The system shall use fallback data if a live source is unreachable.
• New regulations shall be stored in the MySQL database with source_id, title, category, content, version, and published_date.",5,Must Have
02,"As a compliance officer,
I want the system to automatically detect changes when a regulation is updated to a new version,
so that I am aware of regulatory modifications that may affect the bank's compliance posture.

Given that the feed integrator has scraped a regulation that already exists in the database, when the scraped version number is higher than the stored version, then the system updates the regulation record and creates a regulation_changes entry.

Acceptance Criteria:
• The system shall compare the version of a scraped regulation against the stored version in the database.
• If the version is higher, the system shall update the regulation and create a record in the regulation_changes table.
• The change record shall include previous_version, new_version, semantic_differences, and impact_score.
• The change record shall be visible in the Changes view on the dashboard.",3,Must Have
03,"As a compliance officer,
I want the system to automatically assess the impact of each regulatory change using keyword analysis,
so that high-risk changes are prioritized for immediate review.

Given that a new regulation is ingested or an existing regulation is updated, when the system processes the regulation content, then it assigns an impact score of Critical, High, Medium, or Low based on keyword analysis.

Acceptance Criteria:
• The system shall analyze the title and content of each regulation for impact keywords.
• The system shall assign an impact score: Critical, High, Medium, or Low.
• Critical and High impact regulations shall be flagged as Immediate Action Required.
• Medium impact regulations shall be flagged as Review Recommended.
• Low impact regulations shall be flagged as Informational.",3,Must Have
04,"As a compliance officer,
I want the system to automatically generate alerts when new regulations are ingested or existing regulations are updated,
so that the compliance team is notified of regulatory changes requiring attention.

Given that a regulation has been inserted or updated by the feed integrator, when the change detection and impact assessment are complete, then the system creates an alert with the appropriate severity level and a default status of Unread.

Acceptance Criteria:
• The system shall create an alert for every new or updated regulation.
• Each alert shall have a severity level derived from the impact assessment.
• Each alert shall have a default status of Unread.
• Alerts shall be linked to the corresponding regulation and change record via foreign keys.",3,Must Have
05,"As a compliance officer,
I want to view a list of all regulatory alerts with severity badges and status indicators,
so that I can quickly identify which alerts require immediate attention.

Given that I am on the Alerts view of the dashboard, when the page loads, then the system retrieves all alerts joined with regulation titles and displays them with color-coded severity badges and summary cards.

Acceptance Criteria:
• The system shall display all alerts in a table with columns: Alert ID, Regulation Title, Severity Level, Status, and Actions.
• Severity levels shall be displayed as color-coded Bootstrap badges.
• The system shall display summary cards showing total alerts, unread count, and counts by severity level.
• The system shall retrieve data from GET /api/alerts and GET /api/dashboard/summary endpoints.",3,Must Have
06,"As a compliance officer,
I want to update the status of an alert (Unread, Read, Dismissed) directly from the dashboard,
so that I can track which alerts have been reviewed.

Given that I am viewing the alerts table, when I select a new status from the dropdown in the Actions column, then the system sends a PATCH request to update the alert status and refreshes the summary cards.

Acceptance Criteria:
• Each alert row shall have a status dropdown with options: Unread, Read, Dismissed.
• The system shall validate the status value before updating.
• The system shall return HTTP 400 for invalid status values.
• The system shall return HTTP 404 if the alert does not exist.
• Summary cards shall refresh after a status update.",2,Must Have
07,"As a compliance officer,
I want to filter alerts by severity level and status,
so that I can focus on the most critical alerts first.

Given that I am on the Alerts view, when I select a severity level or status from the filter dropdowns, then the system filters the displayed alerts client-side without making additional API calls, showing only alerts matching the selected criteria.

Acceptance Criteria:
• The system shall provide filter dropdowns for severity level and status.
• Filtering shall be performed client-side on already-fetched data.
• Selecting All shall display all alerts.
• Both filters shall work in combination.",2,Must Have
08,"As a compliance officer,
I want to view a reports dashboard showing regulatory changes by category and alert trends over time,
so that I can analyze compliance patterns and prepare management reports.

Given that I navigate to the Reports view, when the view loads, then the system displays a category breakdown table showing regulation change counts grouped by category (AML, ESG, etc.), Chart.js charts showing alert trends over time, and compliance status indicators showing the ratio of reviewed to unread alerts.

Acceptance Criteria:
• The system shall display regulation changes grouped by category from GET /api/dashboard/categories.
• The system shall render Chart.js charts (pie, bar, doughnut, line) across tabbed report pages.
• The system shall display a progress bar showing the alert review completion percentage.
• The system shall display severity distribution badges with counts.",3,Must Have
09,"As a compliance officer,
I want to view all outstanding compliance tasks with assignee and deadline information,
so that I can monitor task progress and ensure timely completion.

Given that I navigate to the Tasks view, when the view loads, then the system retrieves all tasks joined with assignee usernames from the backend API and displays them in a table with status badges and deadline highlighting for tasks due within 3 days or overdue.

Acceptance Criteria:
• The system shall display tasks with columns: Title, Description, Assignee, Deadline, Status, and Actions.
• Task status shall be displayed as color-coded badges (Pending, In Progress, Completed).
• Tasks with deadlines within 3 days or past due shall be highlighted in red.
• The system shall retrieve data from GET /api/tasks.",2,Must Have
10,"As a compliance officer,
I want to add a new compliance task with an assignee and deadline,
so that regulatory changes can be assigned to team members for action.

Given that I am on the Tasks view, when I fill in the task form with a title, description, assignee, deadline, and optional alert reference and click Add Task, then the system sends a POST request to create the task in the database and refreshes the task list.

Acceptance Criteria:
• The system shall provide a form with fields: title (required), description, assignee dropdown (required), deadline (required), and alert dropdown (optional).
• The system shall validate required fields before submission.
• Upon successful creation, the task shall appear in the task list.
• The system shall populate the assignee dropdown from GET /api/users.",3,Must Have
