User Story ID,Sprint Backlog Item,Assign To,Estimated Effort-hour,Day 1,Day 2,Day 3,Day 4,Priority
21,"As a compliance officer, I want to securely log in with my email and password, so that only authorized personnel can access the compliance dashboard. (Login API with bcrypt + audit log middleware)",Eaint,4,3,2,1,0,Should Have
23,"As a compliance officer, I want to export alerts as a CSV file, so that I can share compliance data with management offline.",Eaint,2,1,0,0,0,Should Have
24,"As a compliance officer, I want to print a formatted compliance report from the Reports view, so that I can present findings in management meetings.",Kay,3,2,1,0,0,Should Have
22,"As a compliance officer, I want to toggle dark mode on the dashboard, so that I can work comfortably in low-light environments.",Hsu,2,1,0,0,0,Nice to Have
25,"As a compliance officer, I want all tables to display data page by page with pagination controls, so that I can navigate large datasets efficiently.",Hsu,3,2,1,0,0,Nice to Have
-,"Test all CRUD operations: alerts (view, filter, update status)",Eaint,3,2,1,0,0,Must Have
-,"Test all CRUD operations: tasks (create, update status, delete, deadline highlighting)",Kay,3,2,1,0,0,Must Have
-,"Test all CRUD operations: gaps (create, update status), policies (create, edit)",Hsu,3,2,1,0,0,Must Have
-,"Test all CRUD operations: regulations (create, edit, search, pagination), sources (create)",Hsu,3,2,1,0,0,Must Have
-,"Test feed integrator: restart server, verify scraping populates all tabs (alerts, changes, impact, regulations)",Min Thu,3,2,1,0,0,Must Have
-,"Test login with all 3 roles (officer, auditor, admin), test logout",Eaint,2,1,0,0,0,Must Have
-,"Test edge cases: empty tables show No data found, invalid form inputs rejected, 404 API responses",Kay,3,2,1,0,0,Must Have
-,"Test reports: all 5 charts render, tabbed pages switch, print report generates correctly",Kay,3,2,1,0,0,Must Have
-,Fix bugs found during testing,Min Thu,5,4,3,1,0,Must Have
-,"UI polish: verify toast notifications, loading spinners, welcome banner, last synced timestamp",Min Thu,3,2,1,0,0,Must Have
-,Final integration test: full pipeline (scrape -> change detect -> impact assess -> alert -> task -> audit),Min Thu,4,3,2,1,0,Must Have
-,Prepare demo script and walkthrough for mid-term evaluation,All (shared),5,4,2,1,0,Must Have
,Total Story Points: 11,Total effort-hour:,56,37,19,4,0,
