User Story ID,Sprint Backlog Item,Assign To,Estimated Effort-hour,Day 1,Day 2,Day 3,Day 4,Day 5,Priority
20,"As a compliance officer, I want the dashboard to have a professional sidebar navigation layout with 10 views, so that I can easily switch between different compliance management functions without page reloads. (Project setup: Express server, MySQL schema, db.js, .env, route structure)",Min Thu,4,3,1,0,0,0,Must Have
01,"As a compliance officer, I want the system to automatically scrape regulatory updates from 7 international authorities (MAS, FATF, FinCEN, ECB, FCA, BIS, HKMA), so that the compliance team receives the latest regulatory data without manual effort.",Min Thu,5,4,3,1,0,0,Must Have
02,"As a compliance officer, I want the system to automatically detect changes when a regulation is updated to a new version, so that I am aware of regulatory modifications that may affect the bank's compliance posture.",Min Thu,4,3,2,1,0,0,Must Have
03,"As a compliance officer, I want the system to automatically assess the impact of each regulatory change using keyword analysis, so that high-risk changes are prioritized for immediate review.",Eaint,4,3,2,1,0,0,Must Have
04,"As a compliance officer, I want the system to automatically generate alerts when new regulations are ingested or existing regulations are updated, so that the compliance team is notified of regulatory changes requiring attention.",Eaint,3,2,1,0,0,0,Must Have
14,"As a compliance officer, I want to view and add regulatory sources, so that the system can track which authorities are being monitored. (Backend API: GET/POST)",Hsu,3,2,1,0,0,0,Must Have
15,"As a compliance officer, I want to view, add, and edit regulations in the knowledge base, so that the compliance team has a centralized repository of all regulatory information. (Backend API: GET/POST/PUT with pagination)",Hsu,5,4,3,1,0,0,Must Have
18,"As a compliance officer, I want to view and manage internal bank policies, so that I can reference and update them when performing compliance gap analysis. (Backend API: GET/POST/PUT)",Kay,3,2,1,0,0,0,Must Have
09,"As a compliance officer, I want to view all outstanding compliance tasks with assignee and deadline information, so that I can monitor task progress and ensure timely completion. (Backend API: GET/POST/PATCH/DELETE)",Kay,5,4,3,1,0,0,Must Have
12,"As a compliance officer, I want to view compliance gaps between regulations and internal policies, so that I can identify where the bank's policies fall short of regulatory requirements. (Backend API: GET/POST/PATCH)",Kay,4,3,2,1,0,0,Must Have
19,"As a compliance officer, I want to view a searchable audit trail of all system actions with date and user filtering, so that the bank has a complete record for regulatory inspections and internal audits. (Backend API: GET with query filters)",Hsu,3,2,1,0,0,0,Must Have
08,"As a compliance officer, I want to view a reports dashboard showing regulatory changes by category and alert trends over time, so that I can analyze compliance patterns and prepare management reports. (Backend API: summary, categories, trends)",Eaint,4,3,2,1,0,0,Must Have
,Total Story Points: 24,Total effort-hour:,47,35,22,7,0,0,
